R/cols_align.R:198:17 RY098
R/data_color.R:1520:23 RY010
R/data_color.R:1520:35 RY010
R/dt_summary.R:176:59 RY010
R/fmt.R:166:19 RY010
R/fmt.R:166:7 RY001
R/fmt.R:167:15 RY010
R/fmt.R:167:31 RY010
R/fmt.R:184:21 RY010
R/fmt.R:184:42 RY010
R/fmt.R:214:5 RY010
R/fmt.R:215:5 RY010
R/fmt.R:216:5 RY010
R/fmt.R:254:15 RY010
R/fmt.R:254:29 RY010
R/fmt.R:277:10 RY010
R/fmt.R:277:26 RY010
R/fmt.R:296:10 RY010
R/fmt.R:296:42 RY010
R/fmt.R:312:20 RY010
R/fmt.R:312:42 RY010
R/fmt.R:332:13 RY010
R/fmt.R:332:35 RY010
R/fmt.R:353:10 RY010
R/fmt.R:353:28 RY010
R/fmt.R:375:38 RY010
R/fmt.R:394:3 RY010
R/fmt.R:409:10 RY010
R/fmt.R:409:37 RY010
R/fmt.R:503:23 RY010
R/format_data.R:10832:29 RY010
R/format_data.R:5399:5 RY010
R/format_data.R:5400:7 RY010
R/format_data.R:5403:18 RY010
R/format_data.R:5405:32 RY010
R/format_data.R:9078:7 RY010
R/format_data.R:9079:7 RY010
R/format_data.R:9558:7 RY010
R/format_data.R:9559:7 RY010
R/format_data.R:9560:7 RY010
R/format_data.R:9561:7 RY010
R/helpers.R:747:19 RY010
R/helpers.R:750:17 RY010
R/helpers.R:760:7 RY010
R/helpers.R:761:7 RY010
R/helpers.R:762:9 RY010
R/info_tables.R:1083:5 RY010
R/info_tables.R:1100:5 RY010
R/info_tables.R:1112:5 RY010
R/info_tables.R:1650:5 RY010
R/info_tables.R:494:23 RY010
R/info_tables.R:497:15 RY010
R/info_tables.R:594:16 RY010
R/info_tables.R:743:29 RY010
R/info_tables.R:743:60 RY010
R/info_tables.R:746:12 RY010
R/info_tables.R:943:19 RY010
R/opts.R:117:9 RY032
R/opts.R:121:49 RY010
R/opts.R:121:9 RY032
R/opts.R:131:30 RY010
R/render_as_i_html.R:922:7 RY032
R/render_as_i_html.R:928:20 RY010
R/render_as_i_html.R:928:28 RY010
R/tab_options.R:1054:26 RY092
R/utils.R:441:17 RY010
R/utils.R:442:18 RY010
R/utils.R:471:24 RY010
R/utils.R:475:9 RY010
R/utils.R:476:9 RY010
R/utils.R:479:31 RY010
R/utils.R:483:9 RY010
R/utils.R:484:9 RY010
R/utils.R:493:31 RY010
R/utils.R:497:9 RY010
R/utils.R:499:16 RY010
R/utils.R:499:42 RY010
R/utils.R:636:24 RY010
R/utils.R:640:9 RY010
R/utils.R:642:9 RY010
R/utils.R:645:31 RY010
R/utils.R:650:9 RY010
R/utils.R:651:16 RY010
R/utils.R:651:42 RY010
R/utils_render_latex.R:2149:47 RY061
R/utils_render_latex.R:2149:57 RY061
R/utils_render_latex.R:44:7 RY032
R/utils_render_rtf.R:795:7 RY032
R/utils_render_xml.R:744:7 RY032
tests/testthat/test-fmt.R:146:17 RY030
tests/testthat/test-fmt.R:169:17 RY030
tests/testthat/test-fmt.R:193:17 RY030
tests/testthat/test-fmt.R:218:17 RY030
tests/testthat/test-fmt_auto.R:21:19 RY030
tests/testthat/test-fmt_auto.R:21:41 RY030
tests/testthat/test-l_fmt.R:143:17 RY030
tests/testthat/test-l_fmt.R:166:17 RY030
tests/testthat/test-l_fmt.R:190:17 RY030
tests/testthat/test-l_fmt.R:219:17 RY030
tests/testthat/test-resolver.R:161:35 RY030
tests/testthat/test-summary_rows.R:1610:19 RY030
tests/testthat/test-summary_rows.R:1610:41 RY030
tests/testthat/test-summary_rows.R:6:5 RY030
tests/testthat/test-summary_rows.R:7:5 RY030
tests/testthat/test-summary_rows.R:818:19 RY030
tests/testthat/test-summary_rows.R:818:41 RY030
tests/testthat/test-tab_footnote.R:660:7 RY030
tests/testthat/test-tab_footnote.R:661:7 RY030
tests/testthat/test-tab_style_body.R:6:19 RY030
tests/testthat/test-tab_style_body.R:6:41 RY030
